NUMT,NUMCITIES,NUMCAPITALS,Performance
1,331,   2,  15.447
1,331,   3,  19.259
1,331,   4,  18.996
1,331,   5,  24.010
1,331,  10,  40.942
1,331,  15,  37.028
1,331,  20,  39.469
1,331,  30,  44.399
1,331,  40,  39.120
1,331,  50,  43.152
2,331,   2,   6.708
2,331,   3,   7.309
2,331,   4,   8.762
2,331,   5,  11.197
2,331,  10,  22.517
2,331,  15,  32.159
2,331,  20,  39.322
2,331,  30,  43.477
2,331,  40,  51.658
2,331,  50,  57.103
4,331,   2,   5.071
4,331,   3,   5.312
4,331,   4,   7.215
4,331,   5,   8.230
4,331,  10,  16.915
4,331,  15,  28.829
4,331,  20,  38.168
4,331,  30,  55.075
4,331,  40,  72.735
4,331,  50,  75.298
6,331,   2,   3.472
6,331,   3,   4.551
6,331,   4,   5.868
6,331,   5,   6.769
6,331,  10,  12.929
6,331,  15,  21.275
6,331,  20,  29.143
6,331,  30,  46.729
6,331,  40,  67.498
6,331,  50,  98.222
8,331,   2,   3.227
8,331,   3,   3.984
8,331,   4,   5.359
8,331,   5,   6.247
8,331,  10,  11.795
8,331,  15,  18.287
8,331,  20,  24.923
8,331,  30,  37.115
8,331,  40,  50.682
8,331,  50,  63.409
