bASM,ARRAYSIZE,MMN,MMS,SPEEDUP
0,1024,124.03,650.98,5.25
1,1024,131.95,646.96,4.90
0,2048,134.86,723.13,5.36
1,2048,143.61,721.11,5.02
0,4096,123.78,721.41,5.83
1,4096,143.89,729.91,5.07
0,8192,142.79,779.80,5.46
1,8192,155.02,784.84,5.06
0,16384,236.73,1287.34,5.44
1,16384,254.71,1293.12,5.08
0,32768,154.23,836.86,5.43
1,32768,252.66,1579.62,6.25
0,65536,174.34,993.68,5.70
1,65536,232.61,1184.33,5.09
0,131072,328.65,1663.99,5.06
1,131072,354.49,1794.62,5.06
0,262144,328.45,1668.14,5.08
1,262144,345.53,1797.41,5.20
0,524288,327.14,1207.66,3.69
1,524288,354.07,1797.03,5.08
0,1048576,327.65,1675.18,5.11
1,1048576,353.93,1786.45,5.05
0,2097152,322.89,1182.40,3.66
1,2097152,353.10,1547.81,4.38
0,4194304,316.25,909.87,2.88
1,4194304,345.19,1657.83,4.80
0,8388608,315.61,958.51,3.04
1,8388608,342.91,1635.00,4.77
