Trials,BlockSize,MegaTrails/sec,Probablility
      1024 ,     8 ,    24.39, 8.11
      1024 ,    32 ,    24.39, 6.74
      1024 ,    64 ,    25.00, 8.69
      1024 ,   128 ,    26.32, 10.94
      1024 ,   256 ,    24.39, 9.86
      4096 ,     8 ,    90.91, 8.91
      4096 ,    32 ,   108.11, 8.54
      4096 ,    64 ,   111.11, 8.89
      4096 ,   128 ,   114.29, 8.62
      4096 ,   256 ,    70.18, 9.23
     16384 ,     8 ,   380.95, 8.84
     16384 ,    32 ,   410.26, 9.16
     16384 ,    64 ,   380.95, 8.65
     16384 ,   128 ,   380.95, 8.62
     16384 ,   256 ,   355.56, 8.95
     65536 ,     8 ,  1166.95, 8.68
     65536 ,    32 ,  1472.32, 8.90
     65536 ,    64 ,  1489.45, 8.62
     65536 ,   128 ,  1323.85, 8.97
     65536 ,   256 ,  1488.37, 8.78
    262144 ,     8 ,  2640.88, 8.66
    262144 ,    32 ,  3673.54, 8.82
    262144 ,    64 ,  4546.06, 8.73
    262144 ,   128 ,  4782.25, 8.78
    262144 ,   256 ,  4946.86, 8.74
   1048576 ,     8 ,  4134.24, 8.77
   1048576 ,    32 ,  9752.38, 8.74
   1048576 ,    64 , 12840.12, 8.81
   1048576 ,   128 , 12374.62, 8.76
   1048576 ,   256 , 12351.30, 8.74
   2097152 ,     8 ,  4404.60, 8.74
   2097152 ,    32 , 13633.45, 8.75
   2097152 ,    64 , 15895.22, 8.78
   2097152 ,   128 , 16375.81, 8.75
   2097152 ,   256 , 17508.95, 8.75
