ArraySize, WorkElements, MegaPointsProcessedPerSecond
    4096 ,      8 ,      36.97
    4096 ,     32 ,      33.91
    4096 ,     64 ,      34.27
    4096 ,    128 ,       1.48
    4096 ,    256 ,      52.83
   16384 ,      8 ,     146.00
   16384 ,     32 ,     263.29
   16384 ,     64 ,     166.00
   16384 ,    128 ,     204.99
   16384 ,    256 ,     135.93
   65536 ,      8 ,     130.68
   65536 ,     32 ,     150.09
   65536 ,     64 ,     138.38
   65536 ,    128 ,     136.79
   65536 ,    256 ,     130.71
  262144 ,      8 ,     206.92
  262144 ,     32 ,     373.81
  262144 ,     64 ,     237.12
  262144 ,    128 ,     260.73
  262144 ,    256 ,     288.65
 1048576 ,      8 ,     626.88
 1048576 ,     32 ,     998.13
 1048576 ,     64 ,    1013.67
 1048576 ,    128 ,     854.01
 1048576 ,    256 ,     923.85
 4194304 ,      8 ,    1314.83
 4194304 ,     32 ,    2354.79
 4194304 ,     64 ,    2183.79
 4194304 ,    128 ,    2298.29
 4194304 ,    256 ,    2934.11
